"arc_length"	"p"
71.55	11258.5
71.625	11028.9
71.7	10799.4
71.775	10569.8
71.85	10340.3
71.925	10110.7
72	9881.17
72.075	9646.24
72.15	9405.13
72.225	9164.05
72.3	8922.94
72.375	8681.86
72.45	8440.77
72.525	8199.66
72.6	7958.58
72.675	7717.47
72.75	7476.38
72.825	7235.3
72.9	6994.19
72.975	6753.11
73.05	6512
73.125	6270.91
73.2	6029.83
73.275	5788.72
73.35	5547.63
73.425	5306.53
73.5	5065.44
73.575	4815.31
73.65	4561.85
73.725	4308.43
73.8	4054.98
73.875	3801.55
73.95	3548.12
74.025	3294.67
74.1	3041.24
74.175	2787.79
74.25	2534.37
74.325	2280.94
74.4	2027.49
74.475	1774.06
74.55	1520.61
74.625	1267.18
74.7	1013.76
74.775	760.305
74.85	506.878
74.925	253.426
75	-3.30091e-11
